3.295541e+00 1.141104e-01 -9.458135e-01 3.413180e+00 8.129192e+00 8.170000e+00
2.694578e+00 -3.636644e-01 -7.224355e-01 3.357648e+00 8.450440e+00 8.170000e+00
2.006769e+00 -6.881276e-01 -5.168157e-01 3.338164e+00 8.689061e+00 8.170000e+00
1.265653e+00 -8.413585e-01 -3.350400e-01 3.357484e+00 8.846421e+00 8.170000e+00
5.079430e-01 -8.183181e-01 -1.760360e-01 3.415043e+00 8.924631e+00 8.170000e+00
-2.281364e-01 -6.267351e-01 -3.008944e-02 3.507946e+00 8.926088e+00 8.170000e+00
-9.069540e-01 -2.843692e-01 1.253265e-01 3.633589e+00 8.852530e+00 8.170000e+00
-1.500439e+00 1.805594e-01 3.174265e-01 3.792748e+00 8.704391e+00 8.170000e+00
-1.991526e+00 7.311537e-01 5.749641e-01 3.988863e+00 8.480053e+00 8.170000e+00
-2.374013e+00 1.325204e+00 9.230108e-01 4.225184e+00 8.174738e+00 8.170000e+00
-2.652791e+00 1.919738e+00 1.378759e+00 4.500871e+00 7.779697e+00 8.170000e+00
-2.841977e+00 2.473815e+00 1.949861e+00 4.808227e+00 7.282405e+00 8.170000e+00
-2.958439e+00 2.951297e+00 2.633268e+00 5.129917e+00 6.666636e+00 8.170000e+00
-3.016763e+00 3.322613e+00 3.414258e+00 5.438611e+00 5.918442e+00 8.170000e+00
-3.027379e+00 3.565433e+00 4.266065e+00 5.696667e+00 5.029112e+00 8.170000e+00
-2.993403e+00 3.666186e+00 5.151769e+00 5.860785e+00 4.001570e+00 8.170000e+00
-2.906400e+00 3.620848e+00 6.022847e+00 5.886252e+00 2.863051e+00 8.170000e+00
-2.759495e+00 3.441003e+00 6.832854e+00 5.739582e+00 1.661096e+00 8.170000e+00
-2.549329e+00 3.154897e+00 7.539888e+00 5.400690e+00 4.626596e-01 8.170000e+00
-2.279265e+00 2.805010e+00 8.113457e+00 4.869589e+00 -6.515361e-01 8.170000e+00
