-4.127780946244144822e+00 -3.025739056751282074e+00 2.567045924951665725e+01
-3.992080061641784194e+00 -3.865809535276075071e+00 2.282238506875613737e+01
-3.915138820162710420e+00 -5.299259448947985618e+00 2.060817565700791576e+01
-3.771903464599864364e+00 -4.793292327267935526e+00 1.868466048599806939e+01
-5.190773025087619175e+00 -7.769263174605174349e+00 1.899072905757489949e+01
-7.247947315088866915e+00 -1.018500698563406992e+01 1.815900031230432532e+01
-8.535250783535101249e+00 -1.292007786157340377e+01 2.028580399005002022e+01
-1.105707970176235122e+01 -1.503816421585829488e+01 2.423699351549858605e+01
-1.330954892449198645e+01 -1.521198765037742717e+01 2.988913387136470234e+01
-1.338649714465341845e+01 -1.113643956574430938e+01 3.476683425473276401e+01
-1.133704189626068626e+01 -6.674276913556375312e+00 3.475182549337514359e+01
-8.538394277780280817e+00 -3.402493046000754973e+00 3.399029278255737552e+01
-6.284178233387762269e+00 -2.454650381354584354e+00 3.023539393777025097e+01
-4.394424053968126742e+00 -1.192710152651939692e+00 2.777605846878871176e+01
-3.541466902950863638e+00 -1.711624658694981704e+00 2.285226683103669032e+01
-2.886615243011077414e+00 -2.283396304127159659e+00 2.112390697499531456e+01
-3.081129164729107028e+00 -4.010276790679168535e+00 1.824103318248935679e+01
-3.790712346890878326e+00 -5.048175696345230890e+00 1.723789961216299460e+01
-4.648620325442420764e+00 -7.792963257532047550e+00 1.608311740738848172e+01
-6.603838459375967140e+00 -9.949293992029851097e+00 1.645443929948153539e+01
-8.858846309928939178e+00 -1.342535137088026787e+01 1.907463591783065837e+01
-1.144563033060419599e+01 -1.664537221320924942e+01 2.338858792796153097e+01
-1.311654560941206427e+01 -1.560330009072762181e+01 3.056465268121813850e+01
-1.336716757230608010e+01 -1.150373721634321100e+01 3.569535421542345688e+01
-1.209867206768068115e+01 -6.550746445290241304e+00 3.574709657559262155e+01
-8.313188793892601680e+00 -1.480936117533966812e+00 3.305129654349866541e+01
-5.832418299898694869e+00 -4.022909402723429118e-02 2.965536748887350527e+01
-3.323859500864345673e+00 -7.380178707117938108e-01 2.577060686955832836e+01
-2.195407807015269608e+00 -1.466701407401537427e+00 2.292899353728673972e+01
-1.882443917213383111e+00 -1.904411392944915127e+00 1.991701447173250017e+01
-2.067968585615579169e+00 -2.472087283588036311e+00 1.825337473774364128e+01
-2.087478908924369492e+00 -2.995062272463968611e+00 1.659387473864570595e+01
